week,activation_id,restaurant_name,location_name,activation_description,minimum_spend_threshold,reward_amount,activation_start,activation_end,unique_users_count,unique_users_count_REDEEMED,total_tpv,median_check,tpv_vs_baseline,median_check_vs_baseline,marketing_spend,remaining_group_budget,new_users_count,returning_users_count,new_user_percentage,notes
Week 3,"25,615, 25,614, 25,613, 25,612, 25,611, 25,610, 25,608, 25,607, 25,606, 25,605, 25,604, 25,603, 25,601, 25,600",Dada,Ridgewood,"Spend $50 with Blackbird Pay, get $25 in $FLY back",50.0,25.0,2025-11-01 10:00:00,2025-11-17 00:00:00,4,1,145.8,30.83,743.75,256.83,25.0,4950.0,2,2,50.0,
Week 1,"23,274, 23,269",Dalila's,Cannonborough Elliotborough,"Spend $45 with Blackbird Pay, get $10 in $FLY back",45.0,10.0,2025-10-28 17:00:00,2025-10-31 19:00:00,1,0,11.16,11.16,,,0.0,4970.0,0,1,0.0,
Week 1,"22,566",Dashi,Park Circle,"Spend $45 with Blackbird Pay, get $15 in $FLY back",45.0,15.0,2025-10-29 14:00:00,2025-10-29 18:00:00,10,2,296.95,25.65,,,30.0,4955.0,1,9,10.0,
Week 2,"25,874, 25,873, 25,872, 25,871, 25,870, 25,829, 25,828, 25,827, 25,826, 25,825, 25,824, 25,823, 25,822",Eats,Inner Richmond,"Spend $25, Get a buttermilk biscuit on us!",25.0,0.0,2025-11-04 09:00:00,2025-11-16 14:00:00,0,0,0.0,,,,0.0,0.0,0,0,,No transactions during activation period
Week 3,"25,874, 25,873, 25,872, 25,871, 25,870, 25,829, 25,828, 25,827, 25,826, 25,825, 25,824, 25,823, 25,822",Eats,Inner Richmond,"Spend $25, Get a buttermilk biscuit on us!",25.0,0.0,2025-11-04 09:00:00,2025-11-16 14:00:00,0,0,0.0,,,,0.0,0.0,0,0,,No transactions during activation period
Week 1,"25,224, 25,223, 25,222, 25,221, 25,220",Eats,Inner Richmond,Spend $50+ Get a french toast on us!,50.0,0.0,2025-10-27 08:00:00,2025-10-31 14:00:00,0,0,0.0,,,,0.0,0.0,0,0,,No transactions during activation period
Week 2,"25,701, 25,700, 25,699, 25,698, 25,697, 25,696, 25,695, 25,694",Friend of a Farmer,Gramercy,"Spend $25 with Blackbird Pay, get $10 in $FLY back (Happy Hour Only)",25.0,10.0,2025-11-03 16:00:00,2025-11-13 18:00:00,4,3,242.78,36.67,-70.04,-57.36,30.0,2430.0,4,0,100.0,
Week 3,"25,701, 25,700, 25,699, 25,698, 25,697, 25,696, 25,695, 25,694",Friend of a Farmer,Gramercy,"Spend $25 with Blackbird Pay, get $10 in $FLY back (Happy Hour Only)",25.0,10.0,2025-11-03 16:00:00,2025-11-13 18:00:00,2,2,146.77,73.38,-81.76,0.46,20.0,2430.0,2,0,100.0,
Week 2,"25,725, 25,724, 25,723, 25,722, 25,721, 25,720, 25,719, 25,718",Friend of a Farmer,Upper West Side,"Spend $25 with Blackbird Pay, get $10 in $FLY back (Happy Hour Only)",25.0,10.0,2025-11-03 16:00:00,2025-11-13 18:00:00,2,1,124.47,30.5,-90.24,-37.02,10.0,2430.0,2,0,100.0,
Week 3,"25,725, 25,724, 25,723, 25,722, 25,721, 25,720, 25,719, 25,718",Friend of a Farmer,Upper West Side,"Spend $25 with Blackbird Pay, get $10 in $FLY back (Happy Hour Only)",25.0,10.0,2025-11-03 16:00:00,2025-11-13 18:00:00,2,1,78.39,39.2,-94.92,-29.15,10.0,2430.0,1,1,50.0,
Week 1,"24,672, 24,671, 24,670",Holy City Brewing,Park Circle - Charleston,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-10-30 13:00:00,2025-11-13 17:00:00,8,6,459.45,33.5,-91.87,3.89,90.0,2260.0,3,5,37.5,
Week 2,"24,672, 24,671, 24,670",Holy City Brewing,Park Circle - Charleston,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-10-30 13:00:00,2025-11-13 17:00:00,1,0,8.35,4.18,-99.87,-87.88,0.0,2260.0,0,1,0.0,
Week 3,"24,672, 24,671, 24,670",Holy City Brewing,Park Circle - Charleston,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-10-30 13:00:00,2025-11-13 17:00:00,9,6,324.24,38.63,-95.62,5.46,90.0,2260.0,1,8,11.11,
Week 2,"25,504, 25,503, 25,502, 25,501, 25,500, 25,499, 25,498, 25,497, 25,496, 25,495",Huriyali,Downtown,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20.0,5.0,2025-11-03 15:00:00,2025-11-14 18:00:00,15,6,295.31,14.87,-88.29,-6.36,30.0,4725.0,4,11,26.67,
Week 3,"25,504, 25,503, 25,502, 25,501, 25,500, 25,499, 25,498, 25,497, 25,496, 25,495",Huriyali,Downtown,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20.0,5.0,2025-11-03 15:00:00,2025-11-14 18:00:00,11,5,261.22,11.32,-88.8,-27.39,25.0,4725.0,0,11,0.0,
Week 1,"25,520, 25,519, 25,518, 25,517, 25,516, 25,515",Huriyali,Downtown,"Spend $22 with Blackbird Pay, get $5 back in $FLY",22.0,5.0,2025-11-01 13:00:00,2025-11-16 15:00:00,9,6,267.06,20.64,-89.48,31.41,30.0,4725.0,5,4,55.56,
Week 2,"25,520, 25,519, 25,518, 25,517, 25,516, 25,515",Huriyali,Downtown,"Spend $22 with Blackbird Pay, get $5 back in $FLY",22.0,5.0,2025-11-01 13:00:00,2025-11-16 15:00:00,9,5,314.0,19.2,-87.55,20.91,25.0,4725.0,2,7,22.22,
Week 3,"25,520, 25,519, 25,518, 25,517, 25,516, 25,515",Huriyali,Downtown,"Spend $22 with Blackbird Pay, get $5 back in $FLY",22.0,5.0,2025-11-01 13:00:00,2025-11-16 15:00:00,12,7,297.08,23.24,-87.26,49.11,35.0,4725.0,5,7,41.67,
Week 2,"25,544, 25,543, 25,542, 25,541, 25,540, 25,539, 25,538, 25,537, 25,536, 25,535",Huriyali,Riverland,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20.0,5.0,2025-11-03 15:00:00,2025-11-14 18:00:00,10,4,218.53,12.51,-89.59,-26.84,20.0,4725.0,1,9,10.0,
Week 3,"25,544, 25,543, 25,542, 25,541, 25,540, 25,539, 25,538, 25,537, 25,536, 25,535",Huriyali,Riverland,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20.0,5.0,2025-11-03 15:00:00,2025-11-14 18:00:00,5,2,129.53,18.74,-93.73,6.64,10.0,4725.0,1,4,20.0,
Week 1,"25,530, 25,529, 25,528, 25,527, 25,526, 25,525",Huriyali,Riverland,"Spend $22 with Blackbird Pay, get $5 in $FLY back",22.0,5.0,2025-11-01 13:00:00,2025-11-16 15:00:00,13,9,324.2,21.7,-85.4,27.2,45.0,4725.0,5,8,38.46,
Week 2,"25,530, 25,529, 25,528, 25,527, 25,526, 25,525",Huriyali,Riverland,"Spend $22 with Blackbird Pay, get $5 in $FLY back",22.0,5.0,2025-11-01 13:00:00,2025-11-16 15:00:00,7,5,186.81,22.29,-91.1,30.35,25.0,4725.0,2,5,28.57,
Week 3,"25,530, 25,529, 25,528, 25,527, 25,526, 25,525",Huriyali,Riverland,"Spend $22 with Blackbird Pay, get $5 in $FLY back",22.0,5.0,2025-11-01 13:00:00,2025-11-16 15:00:00,10,6,324.71,27.23,-84.27,54.96,30.0,4725.0,2,8,20.0,
Week 1,"25,319, 25,318, 25,317",Indigo,Marina,"Spend $90 with Blackbird Pay, get $25 in $FLY back",90.0,25.0,2025-10-29 17:00:00,2025-11-12 21:00:00,0,0,0.0,,,,0.0,5000.0,0,0,,No transactions during activation period
Week 2,"25,319, 25,318, 25,317",Indigo,Marina,"Spend $90 with Blackbird Pay, get $25 in $FLY back",90.0,25.0,2025-10-29 17:00:00,2025-11-12 21:00:00,1,0,10.93,10.93,-97.82,-72.94,0.0,5000.0,0,1,0.0,
Week 3,"25,319, 25,318, 25,317",Indigo,Marina,"Spend $90 with Blackbird Pay, get $25 in $FLY back",90.0,25.0,2025-10-29 17:00:00,2025-11-12 21:00:00,0,0,0.0,,,,0.0,5000.0,0,0,,No transactions during activation period
Week 1,"24,664",Kato Sake Works,Bushwick,"Spend $40 with Blackbird Pay, get $20 in $FLY back",40.0,20.0,2025-10-28 17:00:00,2025-10-28 23:00:00,0,0,0.0,,,,0.0,0.0,0,0,,No transactions during activation period
Week 3,"26,394, 26,393",Landmark Cevicheria,Boerum Hill,"Spend $50 with Blackbird Pay, get $25 in $FLY back",50.0,25.0,2025-11-15 16:00:00,2025-11-16 22:00:00,11,10,1049.54,58.17,113.12,25.12,250.0,0.0,10,1,90.91,
Week 1,"25,015, 25,014, 25,013",Lewis Barbecue,NoMo,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-30 13:00:00,2025-11-13 17:00:00,5,3,138.71,31.15,-94.44,-10.89,30.0,4770.0,1,4,20.0,
Week 2,"25,015, 25,014, 25,013",Lewis Barbecue,NoMo,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-30 13:00:00,2025-11-13 17:00:00,3,2,96.67,25.8,-95.87,-27.32,20.0,4770.0,2,1,66.67,
Week 3,"25,015, 25,014, 25,013",Lewis Barbecue,NoMo,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-30 13:00:00,2025-11-13 17:00:00,4,4,375.44,54.61,-84.21,56.23,40.0,4770.0,4,0,100.0,
Week 1,"25,235, 25,234, 25,233, 25,232, 25,231, 25,230",Lillian's Market & Cafe,Hampton Park Terrace,"Spend $15 with Blackbird Pay, get $5 in $FLY back",15.0,5.0,2025-10-27 07:15:00,2025-11-12 12:00:00,10,6,161.44,14.95,-83.56,3.6,30.0,4480.0,2,8,20.0,
Week 2,"25,235, 25,234, 25,233, 25,232, 25,231, 25,230",Lillian's Market & Cafe,Hampton Park Terrace,"Spend $15 with Blackbird Pay, get $5 in $FLY back",15.0,5.0,2025-10-27 07:15:00,2025-11-12 12:00:00,13,7,269.55,9.52,-72.73,-22.07,35.0,4480.0,3,10,23.08,
Week 3,"25,235, 25,234, 25,233, 25,232, 25,231, 25,230",Lillian's Market & Cafe,Hampton Park Terrace,"Spend $15 with Blackbird Pay, get $5 in $FLY back",15.0,5.0,2025-10-27 07:15:00,2025-11-12 12:00:00,9,4,183.62,8.64,-82.92,-22.75,20.0,4480.0,5,4,55.56,
Week 1,"25,251, 25,250, 25,249, 25,248, 25,247, 25,246",Lillian's Restaurant,Hampton Park Terrace,"Spend $75 with Blackbird Pay, get $25 in $FLY back",75.0,25.0,2025-10-27 17:00:00,2025-11-11 21:00:00,7,6,778.22,78.14,-69.48,86.93,150.0,4480.0,3,4,42.86,
Week 2,"25,251, 25,250, 25,249, 25,248, 25,247, 25,246",Lillian's Restaurant,Hampton Park Terrace,"Spend $75 with Blackbird Pay, get $25 in $FLY back",75.0,25.0,2025-10-27 17:00:00,2025-11-11 21:00:00,7,4,567.98,51.0,-75.13,38.85,100.0,4480.0,1,6,14.29,
Week 3,"25,251, 25,250, 25,249, 25,248, 25,247, 25,246",Lillian's Restaurant,Hampton Park Terrace,"Spend $75 with Blackbird Pay, get $25 in $FLY back",75.0,25.0,2025-10-27 17:00:00,2025-11-11 21:00:00,2,1,127.46,15.26,-94.04,-54.92,25.0,4480.0,0,2,0.0,
Week 1,"24,554, 24,553, 24,552, 24,551, 24,550, 24,549, 24,548, 24,547, 24,546, 24,545",Ma'am Saab,Downtown Charleston,"Spend $35 with Blackbird Pay, get $10 in $FLY back",35.0,10.0,2025-10-28 11:30:00,2025-11-08 14:00:00,3,2,106.11,43.56,-94.04,-54.1,20.0,4950.0,2,1,66.67,
Week 2,"24,554, 24,553, 24,552, 24,551, 24,550, 24,549, 24,548, 24,547, 24,546, 24,545",Ma'am Saab,Downtown Charleston,"Spend $35 with Blackbird Pay, get $10 in $FLY back",35.0,10.0,2025-10-28 11:30:00,2025-11-08 14:00:00,1,1,43.96,43.96,-98.4,-66.0,10.0,4950.0,0,1,0.0,
