week,activation_id,restaurant_name,location_name,activation_description,activation_start,activation_end,unique_users_count,total_tpv,tpv_vs_baseline,median_check_vs_baseline,marketing_spend,remaining_group_budget,new_users_count,returning_users_count,new_user_percentage
Week 2,"25,300",Barn Joo ,Union Square,"Spend $45 with Blackbird Pay, get $15 in $FLY back",2025-11-03 12:00:00,2025-11-03 16:00:00,2,255.03,556.11,228.06,30.0,2425.0,2,0,100.0
Week 2,"25,460",Rosalind Bakery,Financial District,"Spend $25 with Blackbird Pay, get $10 in $FLY back",2025-11-03 11:00:00,2025-11-03 15:00:00,1,4.0,-72.09,-50.0,0.0,2500.0,1,0,100.0
Week 2,"25,687",Amen Street Fish & Raw Bar,French Quarter - Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",2025-11-03 11:00:00,2025-11-03 16:00:00,3,91.92,-34.44,-40.77,10.0,2410.0,1,2,33.33
Week 2,"25,561",CyBelle's Front Room,Inner Sunset,Spend $20+ Get $10 in $Flyback!,2025-11-03 11:00:00,2025-11-03 20:00:00,0,0.0,,,0.0,0.0,0,0,0.0
Week 2,"25,066",Paper Son Coffee ,SOMA,"Spend $25 with Blackbird Pay, get $25 in $FLY back",2025-11-03 10:00:00,2025-11-03 14:00:00,24,576.29,643.0,334.5,425.0,6700.0,6,18,25.0
Week 2,"25,068",Paper Son Coffee ,Paper Son Coffee - Dogpatch,"Spend $25 with Blackbird Pay, get $25 in $FLY back",2025-11-03 10:00:00,2025-11-03 14:00:00,0,0.0,,,0.0,6700.0,0,0,0.0
Week 2,"25,227",Bernie's,Noe Valley,"Spend $25 with Blackbird Pay, get $10 in $FLY back",2025-11-03 10:00:00,2025-11-03 14:00:00,2,19.75,3.16,-21.0,0.0,2500.0,0,2,0.0
Week 2,"25,817",Upstate Stock,Williamsburg,"Spend $30 with Blackbird Pay, get $10 in $FLY back",2025-11-03 07:30:00,2025-11-03 18:30:00,18,218.1,-7.94,-0.63,20.0,2320.0,1,17,5.56
Week 2,"25,232",Lillian's Market & Cafe,Hampton Park Terrace,"Spend $15 with Blackbird Pay, get $5 in $FLY back",2025-11-03 07:15:00,2025-11-03 12:00:00,6,130.82,32.45,29.72,20.0,4670.0,0,6,0.0
Week 2,"25,752",X-Golf,Williamsburg,"Spend $30 with Blackbird Pay, get $15 in $FLY back",2025-11-03 07:00:00,2025-11-03 19:00:00,1,111.53,,,15.0,4970.0,1,0,100.0
Week 1,"25,440",Upstate Stock,Williamsburg,"Spend $25 with Blackbird Pay, get $10 in $FLY back",2025-11-02 15:00:00,2025-11-02 19:00:00,2,61.24,-35.93,-15.39,10.0,2320.0,2,0,100.0
Week 1,"25,494",Aftermath,Ridgewood,"Spend $40, get $10 in $FLY back (Blackbird Pay required)",2025-11-02 13:00:00,2025-11-03 00:00:00,13,750.23,185.13,57.77,70.0,2430.0,0,13,0.0
Week 2,"25,494",Aftermath,Ridgewood,"Spend $40, get $10 in $FLY back (Blackbird Pay required)",2025-11-02 13:00:00,2025-11-03 00:00:00,0,0.0,,,0.0,2430.0,0,0,0.0
Week 1,"25,526",Huriyali,Riverland,"Spend $22 with Blackbird Pay, get $5 in $FLY back",2025-11-02 13:00:00,2025-11-02 15:00:00,4,113.63,22.31,-5.91,10.0,4830.0,3,1,75.0
Week 1,"25,516",Huriyali,Downtown,"Spend $22 with Blackbird Pay, get $5 back in $FLY",2025-11-02 13:00:00,2025-11-02 15:00:00,2,29.97,-62.04,-19.22,0.0,4830.0,1,1,50.0
Week 1,"22,896",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",2025-11-02 12:00:00,2025-11-02 22:00:00,2,87.37,,,0.0,2255.0,1,1,50.0
Week 1,"25,430",Uncork,Wraggborough,"Spend $45 with Blackbird Pay, get $15 in $FLY back",2025-11-02 12:00:00,2025-11-02 15:00:00,1,83.25,,,15.0,4985.0,1,0,100.0
Week 1,"25,560",CyBelle's Front Room,Inner Sunset,Spend $20+ Get $10 in $Flyback!,2025-11-02 11:00:00,2025-11-02 20:00:00,1,47.67,-24.37,-62.18,10.0,0.0,1,0,100.0
Week 1,"25,686",Amen Street Fish & Raw Bar,French Quarter - Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",2025-11-02 11:00:00,2025-11-02 16:00:00,3,118.98,-51.14,-27.46,20.0,2410.0,2,1,66.67
Week 1,"25,412",Palm House,Marina,"Spend $55 with Blackbird Pay, get $20 in $FLY back",2025-11-02 10:30:00,2025-11-02 15:00:00,0,0.0,,,0.0,5000.0,0,0,0.0
Week 1,"25,601",Dada,Ridgewood,"Spend $50 with Blackbird Pay, get $25 in $FLY back",2025-11-02 10:00:00,2025-11-03 00:00:00,0,0.0,,,0.0,4975.0,0,0,0.0
Week 2,"25,601",Dada,Ridgewood,"Spend $50 with Blackbird Pay, get $25 in $FLY back",2025-11-02 10:00:00,2025-11-03 00:00:00,0,0.0,,,0.0,4975.0,0,0,0.0
Week 1,"25,010",Rudy Royale,Rudy Royale,"Spend $55 with Blackbird Pay, get $20 in $FLY back",2025-11-02 10:00:00,2025-11-02 14:00:00,4,305.08,1963.44,243.76,60.0,4670.0,3,1,75.0
Week 1,"24,856",The Lost Draft,SoHo,"Spend $25 with Blackbird Pay, get $10 in $FLY back",2025-11-02 08:00:00,2025-11-02 12:00:00,4,91.15,,,20.0,2460.0,2,2,50.0
Week 1,"24,783",Sagaponack General Store,Sagaponack,Spend $100 get $50 in $FLY,2025-11-02 07:00:00,2025-11-02 19:00:00,6,152.6,-50.86,-18.07,0.0,2050.0,2,4,33.33
Week 1,"25,515",Huriyali,Downtown,"Spend $22 with Blackbird Pay, get $5 back in $FLY",2025-11-01 13:00:00,2025-11-01 15:00:00,7,237.09,52.17,19.36,30.0,4830.0,2,5,28.57
Week 1,"25,525",Huriyali,Riverland,"Spend $22 with Blackbird Pay, get $5 in $FLY back",2025-11-01 13:00:00,2025-11-01 15:00:00,9,210.57,120.58,40.01,30.0,4830.0,1,8,11.11
Week 1,"22,895",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",2025-11-01 12:00:00,2025-11-02 00:00:00,2,135.36,,,35.0,2255.0,0,2,0.0
Week 1,"24,861",Peck Slip Social,Seaport,"Spend $30 with Blackbird Pay, get $10 in $FLY back",2025-11-01 12:00:00,2025-11-01 16:00:00,0,0.0,-100.0,-100.0,0.0,5000.0,0,0,0.0
Week 1,"25,559",CyBelle's Front Room,Inner Sunset,Spend $20+ Get $10 in $Flyback!,2025-11-01 12:00:00,2025-11-01 21:00:00,0,0.0,,,0.0,0.0,0,0,0.0
Week 1,"24,549",Ma'am Saab,Downtown Charleston,"Spend $35 with Blackbird Pay, get $10 in $FLY back",2025-11-01 11:30:00,2025-11-01 14:00:00,1,17.48,-13.93,-13.93,0.0,4960.0,1,0,100.0
Week 1,"25,411",Palm House,Marina,"Spend $55 with Blackbird Pay, get $20 in $FLY back",2025-11-01 10:30:00,2025-11-01 15:00:00,0,0.0,,,0.0,5000.0,0,0,0.0
Week 1,"25,600",Dada,Ridgewood,"Spend $50 with Blackbird Pay, get $25 in $FLY back",2025-11-01 10:00:00,2025-11-02 04:00:00,2,71.85,620.66,-67.3,25.0,4975.0,2,0,100.0
Week 1,"24,782",Sagaponack General Store,Sagaponack,Spend $100 get $50 in $FLY,2025-11-01 07:00:00,2025-11-01 19:00:00,6,540.7,142.05,189.25,150.0,2050.0,1,5,16.67
Week 1,"24,460",The Tusk Bar,NoMad,"Spend $100 with Blackbird Pay, get $50 in $FLY back",2025-10-31 17:00:00,2025-10-31 23:00:00,0,0.0,-100.0,-100.0,0.0,1125.0,0,0,0.0
Week 1,"24,410",Brass,NoMad,"Spend $100 with Blackbird Pay, get $50 in $FLY back",2025-10-31 17:00:00,2025-10-31 23:00:00,0,0.0,,,0.0,1125.0,0,0,0.0
Week 1,"23,274",Dalila's,Cannonborough Elliotborough,"Spend $45 with Blackbird Pay, get $10 in $FLY back",2025-10-31 17:00:00,2025-10-31 19:00:00,0,0.0,,,0.0,4970.0,0,0,0.0
Week 1,"24,645",Carta,West Village,"Spend $50 with Blackbird Pay, get $25 in $FLY back",2025-10-31 16:00:00,2025-10-31 19:00:00,1,73.15,,,25.0,0.0,1,0,100.0
Week 1,"22,894",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",2025-10-31 16:00:00,2025-11-01 00:00:00,1,28.78,,,0.0,2255.0,0,1,0.0
Week 1,"24,576",Bodega (Dine In),Downtown Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",2025-10-31 14:00:00,2025-10-31 16:00:00,0,0.0,-100.0,-100.0,0.0,4930.0,0,0,0.0
Week 1,"25,291",Park & Grove,Downtown,"Spend $30 with Blackbird Pay, get $10 in $FLY back",2025-10-31 13:00:00,2025-10-31 17:00:00,5,242.29,148.04,-25.75,20.0,4830.0,1,4,20.0
Week 1,"24,435",Trapizzino,Trapizzino,"Spend $100 with Blackbird Pay, get $25 in $FLY back",2025-10-31 12:00:00,2025-11-01 00:00:00,0,0.0,,,0.0,1125.0,0,0,0.0
Week 1,"24,548",Ma'am Saab,Downtown Charleston,"Spend $35 with Blackbird Pay, get $10 in $FLY back",2025-10-31 11:30:00,2025-10-31 14:00:00,0,0.0,,,0.0,4960.0,0,0,0.0
Week 1,"25,558",CyBelle's Front Room,Inner Sunset,Spend $20+ Get $10 in $Flyback!,2025-10-31 11:00:00,2025-10-31 21:00:00,0,0.0,,,0.0,0.0,0,0,0.0
Week 1,"24,384",Brass,NoMad,"Spend $100 with Blackbird Pay, get $50 in $FLY back",2025-10-30 17:00:00,2025-10-30 23:00:00,1,103.17,,,50.0,1125.0,1,0,100.0
Week 1,"25,455",The Archer,East Central,"Spend $80 with Blackbird Pay, get $25 in $FLY back",2025-10-30 17:00:00,2025-10-30 21:00:00,4,472.75,310.15,196.58,100.0,4850.0,3,1,75.0
Week 1,"24,459",The Tusk Bar,NoMad,"Spend $100 with Blackbird Pay, get $50 in $FLY back",2025-10-30 17:00:00,2025-10-30 23:00:00,0,0.0,,,0.0,1125.0,0,0,0.0
Week 1,"22,893",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",2025-10-30 16:00:00,2025-10-30 22:00:00,1,42.47,,,0.0,2255.0,1,0,100.0
Week 1,"24,644",Carta,West Village,"Spend $50 with Blackbird Pay, get $25 in $FLY back",2025-10-30 16:00:00,2025-10-30 19:00:00,2,125.51,,,25.0,0.0,2,0,100.0
Week 1,"24,670",Holy City Brewing,Park Circle - Charleston,"Spend $35 with Blackbird Pay, get $15 in $FLY back",2025-10-30 13:00:00,2025-10-30 17:00:00,8,459.45,266.03,-66.72,75.0,2365.0,3,5,37.5
Week 1,"25,013",Lewis Barbecue,NoMo,"Spend $30 with Blackbird Pay, get $10 in $FLY back",2025-10-30 13:00:00,2025-10-30 17:00:00,5,138.71,129.93,2.21,30.0,4850.0,1,4,20.0
Week 1,"24,434",Trapizzino,Trapizzino,"Spend $100 with Blackbird Pay, get $25 in $FLY back",2025-10-30 12:00:00,2025-10-30 22:30:00,0,0.0,,,0.0,1125.0,0,0,0.0
Week 1,"25,268",Taco Boy,Folly Beach,"Spend $50 with Blackbird Pay, get $20 in $FLY back",2025-10-30 12:00:00,2025-10-30 15:00:00,0,0.0,-100.0,-100.0,0.0,4830.0,0,0,0.0
Week 1,"24,547",Ma'am Saab,Downtown Charleston,"Spend $35 with Blackbird Pay, get $10 in $FLY back",2025-10-30 11:30:00,2025-10-30 14:00:00,0,0.0,-100.0,-100.0,0.0,4960.0,0,0,0.0
Week 1,"25,280",Taco Boy,Summerville,"Spend $50 with Blackbird Pay, get $20 in $FLY back",2025-10-30 11:00:00,2025-10-30 15:00:00,0,0.0,-100.0,-100.0,0.0,4830.0,0,0,0.0
Week 1,"25,557",CyBelle's Front Room,Inner Sunset,Spend $20+ Get $10 in $Flyback!,2025-10-30 11:00:00,2025-10-30 20:00:00,1,31.23,,,10.0,0.0,1,0,100.0
Week 1,"25,256",Taco Boy,Downtown,"Spend $50 with Blackbird Pay, get $20 in $FLY back",2025-10-30 11:00:00,2025-10-30 15:00:00,6,180.57,25.89,1.87,0.0,4830.0,3,3,50.0
Week 1,"24,603",Bodega (Coffee Counter),Mt. Pleasant ,"Spend $20 with Blackbird Pay, get $5 in $FLY back",2025-10-30 09:00:00,2025-10-30 11:00:00,2,19.73,-72.2,-60.57,0.0,4930.0,0,2,0.0
Week 1,"24,586",Bodega (Coffee Counter),Downtown,"Spend $20 with Blackbird Pay, get $5 in $FLY back",2025-10-30 09:00:00,2025-10-30 11:00:00,1,10.6,-32.57,-32.57,0.0,4930.0,0,1,0.0
Week 1,"24,780",Sagaponack General Store,Sagaponack,Spend $100 get $50 in $FLY,2025-10-30 07:00:00,2025-10-30 19:00:00,2,177.44,-19.32,331.73,50.0,2050.0,0,2,0.0
Week 1,"22,602",Stars Rooftop,Radcliffborough,"Spend $25 with Blackbird Pay, get $10 in $FLY back",2025-10-29 20:00:00,2025-10-30 00:00:00,0,0.0,,,0.0,4670.0,0,0,0.0
Week 1,"25,317",Indigo,Marina,"Spend $90 with Blackbird Pay, get $25 in $FLY back",2025-10-29 17:00:00,2025-10-29 21:00:00,0,0.0,,,0.0,5000.0,0,0,0.0
Week 1,"24,458",The Tusk Bar,NoMad,"Spend $100 with Blackbird Pay, get $50 in $FLY back",2025-10-29 17:00:00,2025-10-29 23:00:00,0,0.0,,,0.0,1125.0,0,0,0.0
Week 1,"24,383",Brass,NoMad,"Spend $100 with Blackbird Pay, get $50 in $FLY back",2025-10-29 17:00:00,2025-10-29 23:00:00,5,834.14,,,250.0,1125.0,4,1,80.0
Week 1,"25,020",Nopalito,NOPA,"Spend $55 with Blackbird Pay, get $20 in $FLY back",2025-10-29 16:30:00,2025-10-29 21:00:00,0,0.0,-100.0,-100.0,0.0,5000.0,0,0,0.0
Week 1,"24,643",Carta,West Village,"Spend $50 with Blackbird Pay, get $25 in $FLY back",2025-10-29 16:00:00,2025-10-29 19:00:00,0,0.0,,,0.0,0.0,0,0,0.0
Week 1,"22,892",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",2025-10-29 16:00:00,2025-10-29 22:00:00,2,95.64,,,0.0,2255.0,0,2,0.0
Week 1,"24,575",Bodega (Dine In),Downtown Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",2025-10-29 14:00:00,2025-10-29 16:00:00,0,0.0,-100.0,-100.0,0.0,4930.0,0,0,0.0
Week 1,"22,566",Dashi,Park Circle,"Spend $45 with Blackbird Pay, get $15 in $FLY back",2025-10-29 14:00:00,2025-10-29 18:00:00,10,296.95,,,30.0,4955.0,1,9,10.0
Week 1,"24,594",Bodega (Coffee Counter),Downtown,"Spend $20 with Blackbird Pay, get $5 in $FLY back",2025-10-29 13:30:00,2025-10-29 15:00:00,0,0.0,-100.0,-100.0,0.0,4930.0,0,0,0.0
Week 1,"24,611",Bodega (Coffee Counter),Mt. Pleasant ,"Spend $20 with Blackbird Pay, get $5 in $FLY back",2025-10-29 13:30:00,2025-10-29 15:00:00,1,16.59,130.1,130.1,0.0,4930.0,0,1,0.0
Week 1,"25,290",Park & Grove,Downtown,"Spend $30 with Blackbird Pay, get $10 in $FLY back",2025-10-29 13:00:00,2025-10-29 17:00:00,0,0.0,-100.0,-100.0,0.0,4830.0,0,0,0.0
Week 1,"25,405",Spike's Coffees and Teas,The Castro,"Spend $25 with Blackbird Pay, get $10 in $FLY back",2025-10-29 13:00:00,2025-10-29 17:00:00,4,21.6,211.54,51.0,0.0,2500.0,0,4,0.0
Week 1,"25,267",Taco Boy,Folly Beach,"Spend $50 with Blackbird Pay, get $20 in $FLY back",2025-10-29 12:00:00,2025-10-29 15:00:00,1,6.86,,,0.0,4830.0,0,1,0.0
Week 1,"24,433",Trapizzino,Trapizzino,"Spend $100 with Blackbird Pay, get $25 in $FLY back",2025-10-29 12:00:00,2025-10-29 22:00:00,1,58.79,-76.83,-53.66,0.0,1125.0,0,1,0.0
Week 1,"25,299",Barn Joo ,Union Square,"Spend $45 with Blackbird Pay, get $15 in $FLY back",2025-10-29 12:00:00,2025-10-29 16:00:00,3,127.86,75.38,4.38,15.0,2425.0,1,2,33.33
Week 1,"25,046",Tacolicious,Mission,"Spend $30 with Blackbird Pay, get $10 in $FLY back",2025-10-29 12:00:00,2025-10-29 16:00:00,0,0.0,,,0.0,7490.0,0,0,0.0
Week 1,"25,042",Tacolicious,Marina,"Spend $30 with Blackbird Pay, get $10 in $FLY back",2025-10-29 12:00:00,2025-10-29 16:00:00,1,75.75,,,10.0,7490.0,1,0,100.0
Week 1,"24,546",Ma'am Saab,Downtown Charleston,"Spend $35 with Blackbird Pay, get $10 in $FLY back",2025-10-29 11:30:00,2025-10-29 14:00:00,0,0.0,,,0.0,4960.0,0,0,0.0
Week 1,"25,556",CyBelle's Front Room,Inner Sunset,Spend $20+ Get $10 in $Flyback!,2025-10-29 11:00:00,2025-10-29 20:00:00,0,0.0,,,0.0,0.0,0,0,0.0
Week 1,"25,279",Taco Boy,Summerville,"Spend $50 with Blackbird Pay, get $20 in $FLY back",2025-10-29 11:00:00,2025-10-29 15:00:00,2,29.04,-68.18,-68.62,0.0,4830.0,2,0,100.0
Week 1,"24,678",The Greats of Craft,Midtown East,"Spend $35 with Blackbird Pay, get $15 in $FLY back",2025-10-29 11:00:00,2025-10-29 15:00:00,1,14.89,-70.98,-70.98,0.0,5000.0,1,0,100.0
Week 1,"25,255",Taco Boy,Downtown,"Spend $50 with Blackbird Pay, get $20 in $FLY back",2025-10-29 11:00:00,2025-10-29 15:00:00,0,0.0,-100.0,-100.0,0.0,4830.0,0,0,0.0
Week 1,"24,674",The Greats of Craft,LIC,"Spend $35 with Blackbird Pay, get $15 in $FLY back",2025-10-29 11:00:00,2025-10-29 15:00:00,0,0.0,,,0.0,5000.0,0,0,0.0
Week 1,"25,451",Baguette Magic,James Island,"Spend $25 with Blackbird Pay, get $10 in $FLY back",2025-10-29 10:00:00,2025-10-29 14:00:00,4,139.52,-4.22,43.94,20.0,4970.0,2,2,50.0
